id,data_subject_id,host,event_id,text,region,label
61,user1336,PC-903,4624,An account was successfully logged on. User: user1336 from PC-903,Northern Territory,0
62,user1107,PC-482,4697,An account was locked out. User: user1107,Queensland,0
63,user1123,PC-435,7045,A logon attempt was made using explicit credentials. User: user1123,New South Wales,0
64,user1791,PC-130,1116,An account was successfully logged on. User: user1791 from PC-130,ACT,0
65,user1455,PC-991,4698,Scheduled task created. Name: crime by user1455,Queensland,0
66,user1004,PC-910,4698,A logon attempt was made using explicit credentials. User: user1004,Tasmania,0
67,user1101,PC-982,4698,A service was installed in the system. Service: Mr by user1101,ACT,0
68,user1712,PC-383,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-383,Western Australia,0
69,user1239,PC-709,1116,An account was successfully logged on. User: user1239 from PC-709,ACT,0
70,user1045,PC-281,4697,Scheduled task created. Name: player by user1045,ACT,0
71,user1639,PC-167,1116,Scheduled task created. Name: science by user1639,ACT,0
72,user1941,PC-227,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-227,ACT,0
73,user1111,PC-683,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-683,New South Wales,0
74,user1265,PC-685,1116,A logon attempt was made using explicit credentials. User: user1265,Western Australia,0
75,user1624,PC-862,4625,A service was installed in the system. Service: add by user1624,Victoria,0
76,user1629,PC-185,4625,A service was installed in the system. Service: throughout by user1629,ACT,0
77,user1919,PC-627,4698,Scheduled task created. Name: former by user1919,New South Wales,0
78,user1790,PC-357,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-357,South Australia,0
79,user1950,PC-629,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-629,New South Wales,0
80,user1631,PC-416,4624,An account was locked out. User: user1631,Northern Territory,0
81,user1963,PC-554,4625,An account was successfully logged on. User: user1963 from PC-554,Queensland,0
82,user1287,PC-616,4625,A service was installed in the system. Service: table by user1287,New South Wales,0
83,user1225,PC-738,4625,A logon attempt was made using explicit credentials. User: user1225,Victoria,0
84,user1452,PC-685,4625,A service was installed in the system. Service: else by user1452,South Australia,0
85,user1320,PC-608,7045,A service was installed in the system. Service: mind by user1320,Victoria,0
86,user1329,PC-886,4625,An account was locked out. User: user1329,New South Wales,0
87,user1445,PC-259,1116,An account was successfully logged on. User: user1445 from PC-259,ACT,0
88,user1840,PC-430,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-430,Northern Territory,0
89,user1740,PC-712,4625,A logon attempt was made using explicit credentials. User: user1740,Victoria,0
90,user1288,PC-871,4625,A logon attempt was made using explicit credentials. User: user1288,ACT,0
91,user1090,PC-207,4698,An account was locked out. User: user1090,Tasmania,0
92,user1780,PC-933,1116,A service was installed in the system. Service: another by user1780,Queensland,0
93,user1601,PC-650,7045,A service was installed in the system. Service: edge by user1601,New South Wales,0
94,user1418,PC-815,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-815,New South Wales,0
95,user1741,PC-682,7045,An account was successfully logged on. User: user1741 from PC-682,South Australia,0
96,user1692,PC-819,1116,An account was locked out. User: user1692,New South Wales,0
97,user1474,PC-588,4698,An account was successfully logged on. User: user1474 from PC-588,Victoria,0
98,user1768,PC-143,4697,A logon attempt was made using explicit credentials. User: user1768,Northern Territory,0
99,user1911,PC-547,4697,An account was locked out. User: user1911,ACT,0
100,user1447,PC-160,4698,An account was successfully logged on. User: user1447 from PC-160,Tasmania,0
101,user1699,PC-140,4697,A logon attempt was made using explicit credentials. User: user1699,Tasmania,0
102,user1438,PC-524,4625,A service was installed in the system. Service: other by user1438,Northern Territory,0
103,user1005,PC-890,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-890,Queensland,0
104,user1675,PC-335,4697,A service was installed in the system. Service: Republican by user1675,Victoria,0
105,user1588,PC-819,4697,A service was installed in the system. Service: technology by user1588,Tasmania,0
106,user1550,PC-921,4697,Scheduled task created. Name: its by user1550,Tasmania,0
107,user1597,PC-485,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-485,Western Australia,0
108,user1476,PC-337,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-337,Victoria,0
109,user1557,PC-280,4625,A logon attempt was made using explicit credentials. User: user1557,ACT,0
110,user1371,PC-380,1116,A logon attempt was made using explicit credentials. User: user1371,ACT,0
111,user1077,PC-784,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-784,ACT,0
112,user1498,PC-181,4625,An account was locked out. User: user1498,Victoria,0
113,user1350,PC-819,4625,An account was successfully logged on. User: user1350 from PC-819,New South Wales,0
114,user1238,PC-913,1116,An account was locked out. User: user1238,Western Australia,0
115,user1677,PC-918,7045,An account was successfully logged on. User: user1677 from PC-918,Tasmania,0
116,user1544,PC-951,1116,A logon attempt was made using explicit credentials. User: user1544,New South Wales,0
117,user1318,PC-263,1116,A service was installed in the system. Service: factor by user1318,Western Australia,0
118,user1537,PC-546,1116,Scheduled task created. Name: state by user1537,Tasmania,0
119,user1913,PC-134,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-134,Northern Territory,0
120,user1426,PC-571,4697,A logon attempt was made using explicit credentials. User: user1426,ACT,0
121,user1922,PC-668,4698,An account was successfully logged on. User: user1922 from PC-668,Western Australia,0
122,user1334,PC-583,4624,A logon attempt was made using explicit credentials. User: user1334,ACT,0
123,user1652,PC-772,7045,A logon attempt was made using explicit credentials. User: user1652,Tasmania,0
124,user1574,PC-418,4698,A logon attempt was made using explicit credentials. User: user1574,Victoria,0
125,user1994,PC-716,7045,An account was locked out. User: user1994,Victoria,0
126,user1611,PC-235,4624,An account was locked out. User: user1611,South Australia,0
127,user1782,PC-666,1116,A logon attempt was made using explicit credentials. User: user1782,New South Wales,0
128,user1637,PC-766,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-766,Western Australia,0
129,user1313,PC-205,4625,Scheduled task created. Name: but by user1313,Northern Territory,0
130,user1297,PC-940,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-940,Tasmania,0
131,user1796,PC-736,4698,A logon attempt was made using explicit credentials. User: user1796,Queensland,0
132,user1946,PC-139,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-139,Western Australia,0
133,user1413,PC-592,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-592,South Australia,0
134,user1474,PC-971,7045,Scheduled task created. Name: pass by user1474,Victoria,0
135,user1744,PC-868,7045,An account was locked out. User: user1744,New South Wales,0
136,user1924,PC-499,1116,An account was successfully logged on. User: user1924 from PC-499,Western Australia,0
137,user1630,PC-240,4624,Scheduled task created. Name: lot by user1630,Victoria,0
138,user1161,PC-284,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-284,ACT,0
139,user1786,PC-173,4697,An account was locked out. User: user1786,South Australia,0
140,user1767,PC-414,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-414,New South Wales,0
141,user1897,PC-216,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-216,South Australia,0
142,user1995,PC-960,4624,An account was locked out. User: user1995,Western Australia,0
143,user1011,PC-699,7045,A logon attempt was made using explicit credentials. User: user1011,South Australia,0
145,user1632,PC-652,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-652,Queensland,0
146,user1738,PC-562,4625,A logon attempt was made using explicit credentials. User: user1738,Western Australia,0
147,user1068,PC-185,4697,A logon attempt was made using explicit credentials. User: user1068,Northern Territory,0
148,user1905,PC-508,4698,An account was locked out. User: user1905,South Australia,0
149,user1542,PC-761,4698,An account was locked out. User: user1542,South Australia,0
152,user1132,PC-324,4698,An account was successfully logged on. User: user1132 from PC-324,ACT,0
153,user1987,PC-757,4625,An account was locked out. User: user1987,South Australia,0
154,user1568,PC-272,7045,A service was installed in the system. Service: rest by user1568,Queensland,0
155,user1662,PC-546,4697,An account was locked out. User: user1662,Victoria,0
156,user1758,PC-720,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-720,Northern Territory,0
157,user1674,PC-428,4624,An account was successfully logged on. User: user1674 from PC-428,South Australia,0
158,user1315,PC-636,4698,A service was installed in the system. Service: sea by user1315,Tasmania,0
160,user1525,PC-484,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-484,Northern Territory,0
161,user1067,PC-549,4697,An account was locked out. User: user1067,ACT,0
162,user1942,PC-720,7045,An account was locked out. User: user1942,New South Wales,0
163,user1827,PC-121,4698,Scheduled task created. Name: dark by user1827,Queensland,0
164,user1827,PC-734,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-734,Queensland,0
165,user1160,PC-940,4698,A logon attempt was made using explicit credentials. User: user1160,Queensland,0
166,user1860,PC-856,4698,An account was successfully logged on. User: user1860 from PC-856,Victoria,0
167,user1411,PC-785,1116,Scheduled task created. Name: already by user1411,South Australia,0
168,user1806,PC-185,4697,A logon attempt was made using explicit credentials. User: user1806,Tasmania,0
169,user1244,PC-319,1116,An account was successfully logged on. User: user1244 from PC-319,ACT,0
170,user1676,PC-888,4698,An account was locked out. User: user1676,Victoria,0
171,user1301,PC-236,4698,Scheduled task created. Name: amount by user1301,New South Wales,0
172,user1136,PC-503,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-503,Tasmania,0
173,user1184,PC-846,4624,A logon attempt was made using explicit credentials. User: user1184,Victoria,0
174,user1861,PC-105,4697,Scheduled task created. Name: either by user1861,Western Australia,0
175,user1764,PC-330,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-330,New South Wales,0
177,user1440,PC-842,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-842,ACT,0
178,user1282,PC-617,4698,An account was locked out. User: user1282,ACT,0
179,user1309,PC-625,7045,Scheduled task created. Name: big by user1309,Victoria,0
180,user1284,PC-854,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-854,ACT,0
181,user1846,PC-917,4698,A service was installed in the system. Service: ask by user1846,ACT,0
184,user1572,PC-764,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-764,ACT,0
185,user1173,PC-520,4697,An account was successfully logged on. User: user1173 from PC-520,New South Wales,0
186,user1443,PC-346,4698,An account was locked out. User: user1443,ACT,0
187,user1305,PC-564,1116,Scheduled task created. Name: public by user1305,Western Australia,0
188,user1786,PC-983,4624,A logon attempt was made using explicit credentials. User: user1786,South Australia,0
189,user1279,PC-962,7045,A service was installed in the system. Service: education by user1279,Queensland,0
190,user1362,PC-765,7045,A service was installed in the system. Service: president by user1362,South Australia,0
191,user1954,PC-847,1116,An account was locked out. User: user1954,South Australia,0
193,user1710,PC-746,4697,A service was installed in the system. Service: sometimes by user1710,ACT,0
194,user1327,PC-772,1116,An account was successfully logged on. User: user1327 from PC-772,ACT,0
195,user1088,PC-451,7045,A service was installed in the system. Service: fire by user1088,Western Australia,0
196,user1508,PC-236,4624,A logon attempt was made using explicit credentials. User: user1508,South Australia,0
197,user1693,PC-776,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-776,ACT,0
198,user1094,PC-618,4625,An account was locked out. User: user1094,Victoria,0
199,user1723,PC-601,1116,A logon attempt was made using explicit credentials. User: user1723,Victoria,0
200,user1961,PC-779,4697,A service was installed in the system. Service: matter by user1961,Tasmania,0
201,user1074,PC-587,7045,A logon attempt was made using explicit credentials. User: user1074,Western Australia,0
202,user1344,PC-168,4698,An account was successfully logged on. User: user1344 from PC-168,Victoria,0
203,user1211,PC-620,4624,Scheduled task created. Name: believe by user1211,Victoria,0
204,user1777,PC-435,4624,Scheduled task created. Name: space by user1777,New South Wales,0
205,user1459,PC-147,4624,An account was successfully logged on. User: user1459 from PC-147,Western Australia,0
206,user1215,PC-834,4624,A logon attempt was made using explicit credentials. User: user1215,South Australia,0
207,user1785,PC-709,4697,A service was installed in the system. Service: TV by user1785,New South Wales,0
208,user1201,PC-760,4697,A service was installed in the system. Service: conference by user1201,New South Wales,0
209,user1015,PC-845,4698,A service was installed in the system. Service: field by user1015,ACT,0
210,user1411,PC-620,4625,An account was successfully logged on. User: user1411 from PC-620,South Australia,0
211,user1213,PC-353,4624,A service was installed in the system. Service: medical by user1213,Victoria,0
212,user1803,PC-717,4698,A logon attempt was made using explicit credentials. User: user1803,Victoria,0
213,user1732,PC-759,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-759,ACT,0
214,user1504,PC-355,4624,An account was locked out. User: user1504,Queensland,0
215,user1946,PC-137,7045,A service was installed in the system. Service: message by user1946,Western Australia,0
216,user1018,PC-268,1116,Scheduled task created. Name: office by user1018,Victoria,0
217,user1451,PC-842,4697,An account was successfully logged on. User: user1451 from PC-842,Victoria,0
218,user1387,PC-540,1116,A service was installed in the system. Service: huge by user1387,New South Wales,0
219,user1630,PC-237,4697,An account was successfully logged on. User: user1630 from PC-237,Victoria,0
220,user1969,PC-944,4698,An account was successfully logged on. User: user1969 from PC-944,Western Australia,0
221,user1574,PC-534,4697,A service was installed in the system. Service: senior by user1574,Victoria,0
222,user1647,PC-209,7045,A service was installed in the system. Service: behind by user1647,ACT,0
223,user1106,PC-760,7045,A logon attempt was made using explicit credentials. User: user1106,South Australia,0
224,user1034,PC-114,4698,A service was installed in the system. Service: food by user1034,New South Wales,0
225,user1853,PC-455,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-455,South Australia,0
226,user1118,PC-421,4697,An account was locked out. User: user1118,Victoria,0
227,user1016,PC-378,4698,An account was successfully logged on. User: user1016 from PC-378,Northern Territory,0
228,user1212,PC-727,4697,Scheduled task created. Name: table by user1212,Western Australia,0
229,user1195,PC-291,4698,A logon attempt was made using explicit credentials. User: user1195,Victoria,0
230,user1386,PC-263,7045,Scheduled task created. Name: into by user1386,Northern Territory,0
231,user1395,PC-829,1116,A service was installed in the system. Service: executive by user1395,New South Wales,0
232,user1027,PC-348,4697,An account was locked out. User: user1027,Tasmania,0
233,user1050,PC-798,4625,A service was installed in the system. Service: stop by user1050,Queensland,0
234,user1086,PC-708,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-708,ACT,0
235,user1989,PC-827,4625,A service was installed in the system. Service: life by user1989,Northern Territory,0
236,user1709,PC-475,4624,Scheduled task created. Name: high by user1709,Northern Territory,0
237,user1191,PC-350,4625,A service was installed in the system. Service: me by user1191,Tasmania,0
238,user1345,PC-425,7045,An account was successfully logged on. User: user1345 from PC-425,Northern Territory,0
239,user1131,PC-125,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-125,ACT,0
240,user1287,PC-148,4698,A logon attempt was made using explicit credentials. User: user1287,New South Wales,0
241,user1283,PC-677,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-677,Western Australia,0
242,user1750,PC-376,7045,An account was successfully logged on. User: user1750 from PC-376,ACT,0
243,user1293,PC-386,4697,An account was locked out. User: user1293,Victoria,0
244,user1292,PC-531,4624,A service was installed in the system. Service: give by user1292,New South Wales,0
245,user1899,PC-635,1116,Scheduled task created. Name: evening by user1899,Victoria,0
246,user1618,PC-115,4625,A logon attempt was made using explicit credentials. User: user1618,South Australia,0
247,user1830,PC-378,4625,Scheduled task created. Name: speak by user1830,ACT,0
248,user1065,PC-267,4624,A service was installed in the system. Service: including by user1065,Western Australia,0
249,user1124,PC-328,4625,Scheduled task created. Name: spend by user1124,Northern Territory,0
250,user1702,PC-905,1116,A service was installed in the system. Service: seat by user1702,Northern Territory,0
251,user1900,PC-788,4625,An account was locked out. User: user1900,New South Wales,0
252,user1284,PC-618,7045,An account was successfully logged on. User: user1284 from PC-618,ACT,0
253,user1137,PC-915,4698,An account was successfully logged on. User: user1137 from PC-915,Western Australia,0
254,user1951,PC-259,4624,A service was installed in the system. Service: American by user1951,South Australia,0
255,user1331,PC-799,4625,A service was installed in the system. Service: enough by user1331,Tasmania,0
257,user1185,PC-572,4698,A logon attempt was made using explicit credentials. User: user1185,ACT,0
258,user1744,PC-633,1116,Scheduled task created. Name: add by user1744,New South Wales,0
259,user1659,PC-841,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-841,Queensland,0
260,user1332,PC-426,4697,A service was installed in the system. Service: American by user1332,New South Wales,0
261,user1248,PC-178,4697,An account was locked out. User: user1248,Northern Territory,0
262,user1793,PC-425,4624,An account was successfully logged on. User: user1793 from PC-425,Western Australia,0
263,user1899,PC-921,4625,An account was successfully logged on. User: user1899 from PC-921,Victoria,0
265,user1238,PC-874,4624,Scheduled task created. Name: bit by user1238,Western Australia,0
267,user1080,PC-478,4698,A logon attempt was made using explicit credentials. User: user1080,ACT,0
268,user1783,PC-382,4697,An account was locked out. User: user1783,Northern Territory,0
269,user1694,PC-897,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-897,South Australia,0
270,user1487,PC-802,4624,An account was locked out. User: user1487,Northern Territory,0
271,user1695,PC-527,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-527,Tasmania,0
272,user1844,PC-913,7045,Scheduled task created. Name: challenge by user1844,Tasmania,0
273,user1783,PC-206,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-206,Northern Territory,0
274,user1563,PC-537,4625,A logon attempt was made using explicit credentials. User: user1563,Western Australia,0
275,user1218,PC-973,1116,A service was installed in the system. Service: knowledge by user1218,ACT,0
276,user1427,PC-849,1116,Scheduled task created. Name: business by user1427,ACT,0
277,user1991,PC-664,4624,A logon attempt was made using explicit credentials. User: user1991,Western Australia,0
278,user1945,PC-389,4697,A service was installed in the system. Service: rest by user1945,Northern Territory,0
279,user1985,PC-223,7045,An account was successfully logged on. User: user1985 from PC-223,ACT,0
280,user1895,PC-737,4625,An account was successfully logged on. User: user1895 from PC-737,ACT,0
281,user1804,PC-160,1116,An account was locked out. User: user1804,Northern Territory,0
282,user1100,PC-668,7045,An account was successfully logged on. User: user1100 from PC-668,New South Wales,0
284,user1380,PC-552,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-552,Western Australia,0
285,user1039,PC-647,4625,A logon attempt was made using explicit credentials. User: user1039,Queensland,0
286,user1231,PC-251,1116,Scheduled task created. Name: president by user1231,Victoria,0
287,user1569,PC-546,4625,A logon attempt was made using explicit credentials. User: user1569,New South Wales,0
288,user1865,PC-238,7045,An account was locked out. User: user1865,New South Wales,0
289,user1823,PC-916,4625,A logon attempt was made using explicit credentials. User: user1823,Tasmania,0
290,user1839,PC-492,1116,An account was locked out. User: user1839,Victoria,0
291,user1853,PC-899,1116,Scheduled task created. Name: play by user1853,South Australia,0
292,user1885,PC-540,7045,A logon attempt was made using explicit credentials. User: user1885,Victoria,0
293,user1908,PC-911,1116,An account was locked out. User: user1908,New South Wales,0
294,user1342,PC-241,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-241,New South Wales,0
295,user1749,PC-508,4625,An account was successfully logged on. User: user1749 from PC-508,ACT,0
296,user1574,PC-490,7045,Scheduled task created. Name: because by user1574,Victoria,0
297,user1506,PC-191,4624,An account was successfully logged on. User: user1506 from PC-191,Western Australia,0
298,user1661,PC-185,4625,A logon attempt was made using explicit credentials. User: user1661,Queensland,0
299,user1623,PC-178,4698,Scheduled task created. Name: science by user1623,Queensland,0
300,user1944,PC-667,4697,Scheduled task created. Name: else by user1944,Tasmania,0
301,user1682,PC-439,4625,An account was locked out. User: user1682,Tasmania,0
302,user1723,PC-945,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-945,Victoria,0
303,user1744,PC-859,4624,A logon attempt was made using explicit credentials. User: user1744,New South Wales,0
304,user1403,PC-383,4624,Scheduled task created. Name: best by user1403,New South Wales,0
305,user1849,PC-624,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-624,Queensland,0
306,user1088,PC-589,4625,An account was locked out. User: user1088,Western Australia,0
307,user1224,PC-106,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-106,Western Australia,0
308,user1119,PC-783,4625,A logon attempt was made using explicit credentials. User: user1119,Western Australia,0
309,user1866,PC-712,4697,A service was installed in the system. Service: within by user1866,South Australia,0
310,user1546,PC-240,1116,A service was installed in the system. Service: even by user1546,Victoria,0
311,user1775,PC-666,4697,A service was installed in the system. Service: career by user1775,New South Wales,0
312,user1379,PC-911,1116,An account was locked out. User: user1379,New South Wales,0
313,user1042,PC-854,7045,An account was locked out. User: user1042,Victoria,0
314,user1162,PC-309,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-309,New South Wales,0
315,user1817,PC-372,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-372,Northern Territory,0
316,user1627,PC-209,4698,An account was successfully logged on. User: user1627 from PC-209,Queensland,0
317,user1670,PC-770,4624,A service was installed in the system. Service: customer by user1670,Northern Territory,0
318,user1788,PC-344,4697,Scheduled task created. Name: election by user1788,Northern Territory,0
319,user1818,PC-897,4625,A logon attempt was made using explicit credentials. User: user1818,Victoria,0
320,user1117,PC-198,7045,Scheduled task created. Name: player by user1117,South Australia,0
321,user1193,PC-233,4625,An account was locked out. User: user1193,Queensland,0
322,user1171,PC-602,1116,Scheduled task created. Name: apply by user1171,South Australia,0
323,user1343,PC-618,7045,A service was installed in the system. Service: its by user1343,ACT,0
324,user1375,PC-456,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-456,Northern Territory,0
325,user1286,PC-859,4625,An account was successfully logged on. User: user1286 from PC-859,ACT,0
326,user1300,PC-612,4698,An account was locked out. User: user1300,Queensland,0
327,user1408,PC-847,1116,A service was installed in the system. Service: in by user1408,Tasmania,0
328,user1788,PC-425,7045,A service was installed in the system. Service: so by user1788,Northern Territory,0
329,user1717,PC-679,4697,An account was successfully logged on. User: user1717 from PC-679,Victoria,0
330,user1996,PC-691,4697,A logon attempt was made using explicit credentials. User: user1996,South Australia,0
331,user1396,PC-201,4625,An account was successfully logged on. User: user1396 from PC-201,Tasmania,0
332,user1248,PC-517,4697,Scheduled task created. Name: country by user1248,Northern Territory,0
333,user1783,PC-802,1116,A logon attempt was made using explicit credentials. User: user1783,Northern Territory,0
334,user1894,PC-678,4624,Scheduled task created. Name: foot by user1894,ACT,0
335,user1587,PC-606,4624,A service was installed in the system. Service: method by user1587,Victoria,0
336,user1424,PC-748,4625,A service was installed in the system. Service: until by user1424,New South Wales,0
337,user1410,PC-318,4698,An account was successfully logged on. User: user1410 from PC-318,South Australia,0
338,user1001,PC-881,4697,An account was successfully logged on. User: user1001 from PC-881,South Australia,0
339,user1222,PC-380,7045,A service was installed in the system. Service: consider by user1222,Western Australia,0
340,user1487,PC-963,1116,Scheduled task created. Name: late by user1487,Northern Territory,0
341,user1069,PC-954,4697,An account was locked out. User: user1069,Victoria,0
342,user1794,PC-971,4698,A logon attempt was made using explicit credentials. User: user1794,Queensland,0
343,user1592,PC-891,4697,An account was locked out. User: user1592,Northern Territory,0
344,user1701,PC-329,1116,An account was successfully logged on. User: user1701 from PC-329,ACT,0
345,user1623,PC-685,4698,A logon attempt was made using explicit credentials. User: user1623,Queensland,0
346,user1985,PC-561,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-561,ACT,0
347,user1129,PC-662,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-662,ACT,0
