id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label,region
21,flow-000020,udp,other,REJ,174,447,udp other REJ 174->447 normal,normal,South Australia
22,flow-000021,udp,ssl,SF,190,1170,udp ssl SF 190->1170 attack,attack,South Australia
23,flow-000022,icmp,ftp,S0,1273,595,icmp ftp S0 1273->595 normal,normal,Tasmania
24,flow-000023,tcp,other,REJ,49,477,tcp other REJ 49->477 attack,attack,Queensland
25,flow-000024,udp,ssl,RSTR,181,332,udp ssl RSTR 181->332 attack,attack,Western Australia
26,flow-000025,icmp,http,SF,477,491,icmp http SF 477->491 normal,normal,Victoria
27,flow-000026,udp,smtp,S0,1514,83,udp smtp S0 1514->83 normal,normal,Victoria
28,flow-000027,tcp,ssh,REJ,1692,911,tcp ssh REJ 1692->911 normal,normal,New South Wales
29,flow-000028,udp,ssh,SF,140,872,udp ssh SF 140->872 attack,attack,South Australia
30,flow-000029,icmp,ssl,S0,407,123,icmp ssl S0 407->123 normal,normal,South Australia
31,flow-000030,tcp,ftp,RSTO,252,246,tcp ftp RSTO 252->246 normal,normal,Northern Territory
32,flow-000031,tcp,http,RSTO,441,761,tcp http RSTO 441->761 attack,attack,South Australia
33,flow-000032,tcp,ssl,REJ,357,449,tcp ssl REJ 357->449 normal,normal,Victoria
34,flow-000033,tcp,ssh,SF,1045,871,tcp ssh SF 1045->871 attack,attack,South Australia
35,flow-000034,udp,ssl,SF,248,78,udp ssl SF 248->78 normal,normal,Queensland
36,flow-000035,icmp,http,S1,80,317,icmp http S1 80->317 attack,attack,ACT
37,flow-000036,tcp,http,SF,998,1427,tcp http SF 998->1427 normal,normal,New South Wales
38,flow-000037,udp,dns,S0,430,445,udp dns S0 430->445 attack,attack,Western Australia
39,flow-000038,udp,other,S1,284,417,udp other S1 284->417 normal,normal,South Australia
40,flow-000039,icmp,http,SF,1440,171,icmp http SF 1440->171 normal,normal,Western Australia
41,flow-000040,icmp,ssh,SF,434,415,icmp ssh SF 434->415 normal,normal,Victoria
42,flow-000041,udp,smtp,RSTR,411,1631,udp smtp RSTR 411->1631 normal,normal,New South Wales
43,flow-000042,tcp,http,S1,48,1352,tcp http S1 48->1352 normal,normal,Queensland
44,flow-000043,tcp,ssl,REJ,365,874,tcp ssl REJ 365->874 normal,normal,Northern Territory
45,flow-000044,tcp,dns,REJ,422,175,tcp dns REJ 422->175 normal,normal,Queensland
46,flow-000045,icmp,ftp,S0,532,1546,icmp ftp S0 532->1546 normal,normal,ACT
47,flow-000046,udp,smtp,RSTO,777,379,udp smtp RSTO 777->379 attack,attack,Northern Territory
48,flow-000047,icmp,ftp,RSTO,415,1286,icmp ftp RSTO 415->1286 normal,normal,New South Wales
49,flow-000048,tcp,ssh,S0,811,1213,tcp ssh S0 811->1213 normal,normal,ACT
50,flow-000049,icmp,dns,RSTO,101,469,icmp dns RSTO 101->469 normal,normal,Victoria
51,flow-000050,icmp,smtp,SF,75,207,icmp smtp SF 75->207 normal,normal,Victoria
52,flow-000051,icmp,http,REJ,904,536,icmp http REJ 904->536 attack,attack,New South Wales
53,flow-000052,icmp,ssh,RSTR,119,906,icmp ssh RSTR 119->906 normal,normal,ACT
54,flow-000053,tcp,other,RSTO,168,875,tcp other RSTO 168->875 normal,normal,Victoria
55,flow-000054,icmp,ssl,S0,133,159,icmp ssl S0 133->159 normal,normal,ACT
56,flow-000055,tcp,ftp,S0,8,430,tcp ftp S0 8->430 normal,normal,South Australia
57,flow-000056,udp,ftp,S1,40,6,udp ftp S1 40->6 attack,attack,Northern Territory
58,flow-000057,udp,dns,RSTR,261,572,udp dns RSTR 261->572 attack,attack,Queensland
59,flow-000058,udp,dns,S0,412,923,udp dns S0 412->923 normal,normal,South Australia
60,flow-000059,icmp,ftp,RSTO,910,1710,icmp ftp RSTO 910->1710 normal,normal,ACT
61,flow-000060,udp,smtp,RSTR,1480,63,udp smtp RSTR 1480->63 normal,normal,Victoria
62,flow-000061,tcp,ftp,SF,916,155,tcp ftp SF 916->155 normal,normal,South Australia
63,flow-000062,tcp,other,RSTR,58,432,tcp other RSTR 58->432 normal,normal,Queensland
64,flow-000063,icmp,other,S1,2004,587,icmp other S1 2004->587 normal,normal,Victoria
65,flow-000064,udp,ssl,RSTO,251,938,udp ssl RSTO 251->938 normal,normal,ACT
66,flow-000065,udp,other,SF,258,130,udp other SF 258->130 attack,attack,ACT
67,flow-000066,tcp,ftp,REJ,635,1200,tcp ftp REJ 635->1200 normal,normal,Tasmania
68,flow-000067,udp,ssl,RSTO,614,603,udp ssl RSTO 614->603 normal,normal,Victoria
69,flow-000068,tcp,http,RSTO,954,1541,tcp http RSTO 954->1541 normal,normal,Western Australia
70,flow-000069,udp,ftp,SF,671,1708,udp ftp SF 671->1708 normal,normal,Western Australia
71,flow-000070,tcp,other,S0,381,145,tcp other S0 381->145 normal,normal,New South Wales
72,flow-000071,icmp,http,S0,61,1110,icmp http S0 61->1110 normal,normal,Queensland
73,flow-000072,udp,ssl,S0,309,145,udp ssl S0 309->145 normal,normal,ACT
74,flow-000073,tcp,ftp,S0,660,1137,tcp ftp S0 660->1137 normal,normal,Western Australia
75,flow-000074,tcp,dns,S0,577,1318,tcp dns S0 577->1318 normal,normal,New South Wales
76,flow-000075,icmp,smtp,SF,310,805,icmp smtp SF 310->805 normal,normal,New South Wales
77,flow-000076,icmp,dns,RSTR,957,991,icmp dns RSTR 957->991 normal,normal,Tasmania
78,flow-000077,icmp,other,S0,974,1106,icmp other S0 974->1106 normal,normal,New South Wales
79,flow-000078,icmp,ssl,RSTR,47,892,icmp ssl RSTR 47->892 normal,normal,ACT
80,flow-000079,icmp,ssl,RSTR,1034,235,icmp ssl RSTR 1034->235 normal,normal,South Australia
81,flow-000080,udp,smtp,RSTR,739,1134,udp smtp RSTR 739->1134 normal,normal,Northern Territory
82,flow-000081,icmp,smtp,S1,175,1135,icmp smtp S1 175->1135 normal,normal,Victoria
83,flow-000082,icmp,other,S1,512,1226,icmp other S1 512->1226 normal,normal,South Australia
84,flow-000083,tcp,other,S1,247,384,tcp other S1 247->384 attack,attack,New South Wales
85,flow-000084,udp,dns,S0,641,298,udp dns S0 641->298 normal,normal,New South Wales
86,flow-000085,udp,smtp,RSTR,1137,407,udp smtp RSTR 1137->407 normal,normal,Western Australia
87,flow-000086,udp,ssh,RSTR,870,187,udp ssh RSTR 870->187 attack,attack,Northern Territory
88,flow-000087,udp,dns,S1,1159,134,udp dns S1 1159->134 attack,attack,New South Wales
89,flow-000088,icmp,ssh,REJ,1446,1505,icmp ssh REJ 1446->1505 attack,attack,Queensland
90,flow-000089,tcp,ssl,REJ,634,1895,tcp ssl REJ 634->1895 normal,normal,Victoria
91,flow-000090,tcp,dns,REJ,405,384,tcp dns REJ 405->384 attack,attack,Western Australia
92,flow-000091,icmp,ftp,S1,375,709,icmp ftp S1 375->709 normal,normal,ACT
93,flow-000092,icmp,ssl,SF,1224,653,icmp ssl SF 1224->653 normal,normal,Western Australia
94,flow-000093,udp,smtp,SF,796,901,udp smtp SF 796->901 normal,normal,Queensland
95,flow-000094,udp,dns,RSTR,1306,250,udp dns RSTR 1306->250 attack,attack,Northern Territory
96,flow-000095,tcp,other,S0,735,165,tcp other S0 735->165 attack,attack,South Australia
97,flow-000096,tcp,other,S1,441,377,tcp other S1 441->377 normal,normal,ACT
98,flow-000097,icmp,ftp,RSTO,422,1574,icmp ftp RSTO 422->1574 normal,normal,Tasmania
99,flow-000098,icmp,smtp,S0,23,1346,icmp smtp S0 23->1346 attack,attack,New South Wales
100,flow-000099,udp,http,S1,76,1182,udp http S1 76->1182 attack,attack,South Australia
101,flow-000100,tcp,http,S1,527,1482,tcp http S1 527->1482 normal,normal,ACT
102,flow-000101,icmp,dns,RSTO,651,913,icmp dns RSTO 651->913 normal,normal,New South Wales
103,flow-000102,icmp,other,RSTR,1755,928,icmp other RSTR 1755->928 normal,normal,Western Australia
104,flow-000103,tcp,dns,RSTO,905,187,tcp dns RSTO 905->187 normal,normal,South Australia
105,flow-000104,tcp,ssh,RSTR,813,875,tcp ssh RSTR 813->875 normal,normal,New South Wales
106,flow-000105,udp,http,REJ,1200,5,udp http REJ 1200->5 normal,normal,South Australia
107,flow-000106,icmp,ssl,S0,755,137,icmp ssl S0 755->137 normal,normal,ACT
108,flow-000107,udp,http,REJ,525,1160,udp http REJ 525->1160 normal,normal,Western Australia
109,flow-000108,tcp,ssl,S1,1113,833,tcp ssl S1 1113->833 attack,attack,New South Wales
110,flow-000109,udp,smtp,RSTO,1491,721,udp smtp RSTO 1491->721 normal,normal,South Australia
111,flow-000110,tcp,other,S0,791,221,tcp other S0 791->221 attack,attack,Western Australia
112,flow-000111,tcp,other,RSTO,135,148,tcp other RSTO 135->148 normal,normal,Tasmania
113,flow-000112,icmp,dns,RSTO,673,1105,icmp dns RSTO 673->1105 normal,normal,New South Wales
114,flow-000113,icmp,ssl,REJ,1591,0,icmp ssl REJ 1591->0 normal,normal,Northern Territory
115,flow-000114,udp,ssh,REJ,822,1134,udp ssh REJ 822->1134 normal,normal,South Australia
116,flow-000115,tcp,http,REJ,826,122,tcp http REJ 826->122 normal,normal,Tasmania
117,flow-000116,tcp,smtp,REJ,950,320,tcp smtp REJ 950->320 normal,normal,Victoria
118,flow-000117,icmp,ftp,S1,583,961,icmp ftp S1 583->961 normal,normal,Victoria
119,flow-000118,udp,ssh,S0,213,328,udp ssh S0 213->328 normal,normal,South Australia
120,flow-000119,tcp,dns,S1,442,1070,tcp dns S1 442->1070 attack,attack,New South Wales
121,flow-000120,tcp,ssh,RSTR,109,476,tcp ssh RSTR 109->476 normal,normal,South Australia
122,flow-000121,udp,smtp,S0,674,1022,udp smtp S0 674->1022 attack,attack,South Australia
123,flow-000122,tcp,smtp,REJ,468,1155,tcp smtp REJ 468->1155 normal,normal,Western Australia
124,flow-000123,icmp,ftp,RSTR,1007,689,icmp ftp RSTR 1007->689 normal,normal,Tasmania
125,flow-000124,icmp,other,S0,98,245,icmp other S0 98->245 normal,normal,Queensland
126,flow-000125,udp,smtp,RSTO,1073,411,udp smtp RSTO 1073->411 normal,normal,New South Wales
127,flow-000126,icmp,dns,RSTR,513,183,icmp dns RSTR 513->183 attack,attack,Victoria
128,flow-000127,tcp,ssl,RSTR,262,438,tcp ssl RSTR 262->438 normal,normal,New South Wales
129,flow-000128,icmp,ssl,RSTR,1310,427,icmp ssl RSTR 1310->427 attack,attack,New South Wales
130,flow-000129,udp,ftp,RSTR,921,546,udp ftp RSTR 921->546 normal,normal,South Australia
131,flow-000130,icmp,smtp,RSTO,341,24,icmp smtp RSTO 341->24 attack,attack,South Australia
132,flow-000131,icmp,ssh,RSTO,438,952,icmp ssh RSTO 438->952 attack,attack,Queensland
133,flow-000132,tcp,ftp,RSTR,198,556,tcp ftp RSTR 198->556 normal,normal,South Australia
134,flow-000133,icmp,ssh,RSTO,492,36,icmp ssh RSTO 492->36 normal,normal,South Australia
135,flow-000134,udp,ssh,RSTO,814,1284,udp ssh RSTO 814->1284 attack,attack,Tasmania
136,flow-000135,udp,smtp,REJ,1803,1159,udp smtp REJ 1803->1159 normal,normal,Tasmania
137,flow-000136,tcp,ftp,RSTR,1279,1063,tcp ftp RSTR 1279->1063 attack,attack,South Australia
138,flow-000137,tcp,other,RSTR,621,714,tcp other RSTR 621->714 normal,normal,Northern Territory
139,flow-000138,icmp,ftp,S0,1423,371,icmp ftp S0 1423->371 normal,normal,ACT
140,flow-000139,icmp,other,SF,467,407,icmp other SF 467->407 normal,normal,Queensland
141,flow-000140,icmp,http,S0,1209,153,icmp http S0 1209->153 attack,attack,South Australia
142,flow-000141,icmp,ssl,SF,719,747,icmp ssl SF 719->747 normal,normal,Victoria
143,flow-000142,tcp,http,SF,317,1184,tcp http SF 317->1184 normal,normal,South Australia
144,flow-000143,udp,dns,RSTR,389,213,udp dns RSTR 389->213 attack,attack,South Australia
145,flow-000144,tcp,http,SF,411,970,tcp http SF 411->970 normal,normal,Tasmania
146,flow-000145,tcp,http,S1,148,762,tcp http S1 148->762 normal,normal,ACT
147,flow-000146,udp,smtp,S0,220,869,udp smtp S0 220->869 normal,normal,Western Australia
148,flow-000147,icmp,ssh,RSTR,1123,1201,icmp ssh RSTR 1123->1201 normal,normal,South Australia
149,flow-000148,tcp,http,SF,1333,654,tcp http SF 1333->654 normal,normal,Northern Territory
150,flow-000149,tcp,other,REJ,1318,819,tcp other REJ 1318->819 normal,normal,Northern Territory
151,flow-000150,tcp,ssl,REJ,1710,192,tcp ssl REJ 1710->192 normal,normal,ACT
152,flow-000151,udp,ftp,REJ,1083,905,udp ftp REJ 1083->905 normal,normal,Victoria
153,flow-000152,icmp,dns,RSTO,102,1255,icmp dns RSTO 102->1255 attack,attack,New South Wales
154,flow-000153,icmp,http,SF,552,958,icmp http SF 552->958 normal,normal,Northern Territory
155,flow-000154,icmp,dns,REJ,638,112,icmp dns REJ 638->112 attack,attack,Queensland
156,flow-000155,icmp,ssh,REJ,277,167,icmp ssh REJ 277->167 normal,normal,New South Wales
157,flow-000156,tcp,other,RSTR,697,898,tcp other RSTR 697->898 normal,normal,Tasmania
158,flow-000157,tcp,dns,S1,270,23,tcp dns S1 270->23 normal,normal,New South Wales
159,flow-000158,icmp,smtp,REJ,1289,467,icmp smtp REJ 1289->467 attack,attack,ACT
160,flow-000159,icmp,ftp,RSTR,923,819,icmp ftp RSTR 923->819 attack,attack,Western Australia
161,flow-000160,tcp,smtp,RSTO,723,251,tcp smtp RSTO 723->251 normal,normal,Queensland
162,flow-000161,tcp,ssl,RSTO,1286,2481,tcp ssl RSTO 1286->2481 normal,normal,New South Wales
163,flow-000162,icmp,other,REJ,315,136,icmp other REJ 315->136 attack,attack,New South Wales
164,flow-000163,icmp,dns,RSTR,1036,1279,icmp dns RSTR 1036->1279 normal,normal,Victoria
165,flow-000164,icmp,other,SF,806,532,icmp other SF 806->532 normal,normal,Queensland
166,flow-000165,udp,ssh,S0,47,1122,udp ssh S0 47->1122 attack,attack,South Australia
167,flow-000166,tcp,http,RSTR,1303,1420,tcp http RSTR 1303->1420 attack,attack,Tasmania
168,flow-000167,udp,http,RSTR,19,697,udp http RSTR 19->697 attack,attack,Western Australia
169,flow-000168,udp,other,SF,233,1603,udp other SF 233->1603 normal,normal,Queensland
170,flow-000169,icmp,http,SF,322,690,icmp http SF 322->690 normal,normal,South Australia
171,flow-000170,icmp,other,SF,947,1569,icmp other SF 947->1569 normal,normal,New South Wales
172,flow-000171,icmp,ssl,REJ,260,639,icmp ssl REJ 260->639 normal,normal,South Australia
173,flow-000172,udp,dns,SF,337,144,udp dns SF 337->144 normal,normal,Victoria
174,flow-000173,icmp,ssl,RSTR,1306,733,icmp ssl RSTR 1306->733 normal,normal,Tasmania
175,flow-000174,icmp,ssh,SF,1198,817,icmp ssh SF 1198->817 normal,normal,Victoria
176,flow-000175,tcp,ssh,SF,511,658,tcp ssh SF 511->658 normal,normal,Northern Territory
177,flow-000176,tcp,other,REJ,698,632,tcp other REJ 698->632 normal,normal,Queensland
178,flow-000177,tcp,ssh,RSTR,1134,245,tcp ssh RSTR 1134->245 normal,normal,Northern Territory
179,flow-000178,icmp,http,RSTO,737,934,icmp http RSTO 737->934 normal,normal,Queensland
180,flow-000179,tcp,http,SF,149,520,tcp http SF 149->520 normal,normal,New South Wales
181,flow-000180,tcp,dns,S1,1374,321,tcp dns S1 1374->321 attack,attack,Queensland
182,flow-000181,udp,ftp,RSTO,807,104,udp ftp RSTO 807->104 normal,normal,ACT
183,flow-000182,udp,ftp,S0,587,672,udp ftp S0 587->672 normal,normal,Tasmania
184,flow-000183,tcp,smtp,S1,354,925,tcp smtp S1 354->925 normal,normal,Victoria
185,flow-000184,udp,ssl,SF,706,515,udp ssl SF 706->515 normal,normal,Queensland
186,flow-000185,tcp,smtp,REJ,610,1249,tcp smtp REJ 610->1249 normal,normal,ACT
187,flow-000186,udp,other,SF,652,378,udp other SF 652->378 normal,normal,Queensland
188,flow-000187,udp,http,S0,356,496,udp http S0 356->496 normal,normal,Victoria
189,flow-000188,icmp,ftp,S1,498,861,icmp ftp S1 498->861 normal,normal,ACT
190,flow-000189,tcp,other,RSTO,18,892,tcp other RSTO 18->892 attack,attack,South Australia
191,flow-000190,tcp,dns,RSTR,582,327,tcp dns RSTR 582->327 normal,normal,South Australia
192,flow-000191,tcp,ftp,S0,134,573,tcp ftp S0 134->573 normal,normal,Western Australia
193,flow-000192,icmp,ftp,RSTO,739,668,icmp ftp RSTO 739->668 normal,normal,Victoria
194,flow-000193,icmp,ssh,S1,76,512,icmp ssh S1 76->512 normal,normal,Queensland
195,flow-000194,tcp,http,S0,62,333,tcp http S0 62->333 normal,normal,Tasmania
196,flow-000195,tcp,dns,S1,512,1013,tcp dns S1 512->1013 normal,normal,Queensland
197,flow-000196,icmp,other,REJ,311,221,icmp other REJ 311->221 attack,attack,ACT
198,flow-000197,udp,smtp,S1,28,1604,udp smtp S1 28->1604 normal,normal,Northern Territory
199,flow-000198,udp,ftp,RSTR,602,740,udp ftp RSTR 602->740 normal,normal,South Australia
200,flow-000199,icmp,other,S0,1320,633,icmp other S0 1320->633 normal,normal,ACT
201,flow-000200,tcp,other,S1,653,268,tcp other S1 653->268 attack,attack,New South Wales
202,flow-000201,tcp,ftp,SF,439,778,tcp ftp SF 439->778 attack,attack,Queensland
203,flow-000202,tcp,dns,SF,292,466,tcp dns SF 292->466 normal,normal,Tasmania
204,flow-000203,icmp,http,S0,421,1263,icmp http S0 421->1263 normal,normal,ACT
205,flow-000204,udp,ssl,S0,901,1068,udp ssl S0 901->1068 attack,attack,South Australia
206,flow-000205,udp,ftp,REJ,372,1068,udp ftp REJ 372->1068 attack,attack,Tasmania
207,flow-000206,udp,ssl,REJ,851,1297,udp ssl REJ 851->1297 normal,normal,Victoria
208,flow-000207,icmp,ssl,RSTO,2,464,icmp ssl RSTO 2->464 normal,normal,Northern Territory
209,flow-000208,icmp,ssh,RSTR,873,875,icmp ssh RSTR 873->875 normal,normal,Northern Territory
210,flow-000209,tcp,ssh,RSTR,1213,826,tcp ssh RSTR 1213->826 normal,normal,Queensland
211,flow-000210,udp,ssh,RSTR,441,11,udp ssh RSTR 441->11 normal,normal,Victoria
212,flow-000211,tcp,ftp,RSTR,859,664,tcp ftp RSTR 859->664 normal,normal,Western Australia
213,flow-000212,udp,other,SF,1773,706,udp other SF 1773->706 normal,normal,Western Australia
214,flow-000213,udp,dns,REJ,90,701,udp dns REJ 90->701 normal,normal,New South Wales
215,flow-000214,udp,ftp,REJ,559,279,udp ftp REJ 559->279 normal,normal,South Australia
216,flow-000215,icmp,dns,SF,295,393,icmp dns SF 295->393 normal,normal,Western Australia
217,flow-000216,tcp,http,RSTO,730,119,tcp http RSTO 730->119 normal,normal,Queensland
218,flow-000217,icmp,ftp,S0,592,1604,icmp ftp S0 592->1604 normal,normal,Victoria
219,flow-000218,udp,ssh,SF,183,1542,udp ssh SF 183->1542 normal,normal,South Australia
220,flow-000219,tcp,http,RSTO,383,289,tcp http RSTO 383->289 normal,normal,Tasmania
221,flow-000220,icmp,smtp,S0,166,857,icmp smtp S0 166->857 attack,attack,Western Australia
222,flow-000221,icmp,other,RSTO,65,346,icmp other RSTO 65->346 attack,attack,Western Australia
223,flow-000222,udp,smtp,RSTO,429,1792,udp smtp RSTO 429->1792 normal,normal,New South Wales
224,flow-000223,icmp,other,RSTO,658,1173,icmp other RSTO 658->1173 normal,normal,ACT
225,flow-000224,udp,dns,S1,138,182,udp dns S1 138->182 normal,normal,Northern Territory
226,flow-000225,udp,ssl,SF,66,751,udp ssl SF 66->751 normal,normal,South Australia
227,flow-000226,udp,ftp,S1,1150,1635,udp ftp S1 1150->1635 attack,attack,Victoria
228,flow-000227,tcp,other,S0,695,457,tcp other S0 695->457 normal,normal,Victoria
229,flow-000228,tcp,ssl,RSTR,542,204,tcp ssl RSTR 542->204 normal,normal,Victoria
230,flow-000229,udp,smtp,RSTO,517,293,udp smtp RSTO 517->293 normal,normal,Queensland
231,flow-000230,udp,http,RSTO,307,884,udp http RSTO 307->884 attack,attack,Queensland
232,flow-000231,tcp,other,RSTR,1361,1118,tcp other RSTR 1361->1118 attack,attack,Northern Territory
233,flow-000232,tcp,other,REJ,97,1282,tcp other REJ 97->1282 normal,normal,Western Australia
234,flow-000233,icmp,dns,SF,328,1356,icmp dns SF 328->1356 normal,normal,Queensland
235,flow-000234,tcp,http,S0,1149,1362,tcp http S0 1149->1362 normal,normal,Tasmania
236,flow-000235,tcp,http,RSTO,416,278,tcp http RSTO 416->278 normal,normal,Western Australia
237,flow-000236,tcp,other,S1,220,1353,tcp other S1 220->1353 normal,normal,Tasmania
238,flow-000237,udp,ssl,SF,1076,748,udp ssl SF 1076->748 attack,attack,New South Wales
239,flow-000238,udp,dns,S1,1611,418,udp dns S1 1611->418 normal,normal,Queensland
240,flow-000239,icmp,other,S0,612,1412,icmp other S0 612->1412 normal,normal,Tasmania
241,flow-000240,udp,ssl,SF,138,629,udp ssl SF 138->629 normal,normal,New South Wales
242,flow-000241,udp,other,RSTR,899,773,udp other RSTR 899->773 normal,normal,New South Wales
243,flow-000242,tcp,other,RSTR,21,1197,tcp other RSTR 21->1197 normal,normal,Queensland
244,flow-000243,tcp,ssh,REJ,472,36,tcp ssh REJ 472->36 normal,normal,South Australia
245,flow-000244,icmp,dns,REJ,1353,305,icmp dns REJ 1353->305 normal,normal,ACT
246,flow-000245,tcp,http,S0,927,945,tcp http S0 927->945 normal,normal,Western Australia
247,flow-000246,udp,ftp,S1,794,791,udp ftp S1 794->791 normal,normal,New South Wales
248,flow-000247,icmp,smtp,RSTR,432,1675,icmp smtp RSTR 432->1675 attack,attack,Northern Territory
249,flow-000248,icmp,ssl,REJ,155,307,icmp ssl REJ 155->307 normal,normal,Northern Territory
250,flow-000249,icmp,smtp,SF,268,909,icmp smtp SF 268->909 normal,normal,ACT
251,flow-000250,udp,http,RSTO,117,1108,udp http RSTO 117->1108 normal,normal,New South Wales
252,flow-000251,tcp,other,S0,408,1294,tcp other S0 408->1294 normal,normal,South Australia
253,flow-000252,tcp,smtp,RSTR,387,851,tcp smtp RSTR 387->851 normal,normal,Victoria
254,flow-000253,tcp,ssl,RSTR,1336,1068,tcp ssl RSTR 1336->1068 normal,normal,Queensland
255,flow-000254,tcp,smtp,RSTO,453,1304,tcp smtp RSTO 453->1304 attack,attack,ACT
256,flow-000255,tcp,ftp,S0,911,1506,tcp ftp S0 911->1506 normal,normal,Tasmania
257,flow-000256,udp,smtp,S1,15,540,udp smtp S1 15->540 normal,normal,South Australia
258,flow-000257,icmp,ssl,S0,1358,0,icmp ssl S0 1358->0 attack,attack,Tasmania
259,flow-000258,icmp,other,S1,458,867,icmp other S1 458->867 attack,attack,New South Wales
260,flow-000259,udp,other,S1,507,404,udp other S1 507->404 normal,normal,Tasmania
261,flow-000260,icmp,dns,RSTR,1124,573,icmp dns RSTR 1124->573 attack,attack,Queensland
262,flow-000261,icmp,ssl,S0,909,1976,icmp ssl S0 909->1976 normal,normal,New South Wales
263,flow-000262,tcp,ssh,RSTR,257,1498,tcp ssh RSTR 257->1498 attack,attack,New South Wales
264,flow-000263,udp,ssh,S0,616,738,udp ssh S0 616->738 normal,normal,Victoria
265,flow-000264,udp,smtp,S1,659,1563,udp smtp S1 659->1563 normal,normal,Victoria
266,flow-000265,udp,ssl,SF,73,1472,udp ssl SF 73->1472 normal,normal,Victoria
267,flow-000266,tcp,smtp,SF,814,1499,tcp smtp SF 814->1499 normal,normal,Western Australia
268,flow-000267,tcp,other,S1,336,309,tcp other S1 336->309 normal,normal,Queensland
269,flow-000268,icmp,dns,RSTR,802,1483,icmp dns RSTR 802->1483 attack,attack,Queensland
270,flow-000269,udp,smtp,SF,567,664,udp smtp SF 567->664 normal,normal,Northern Territory
271,flow-000270,icmp,ssl,S1,292,1682,icmp ssl S1 292->1682 attack,attack,ACT
272,flow-000271,udp,ssl,S1,692,15,udp ssl S1 692->15 normal,normal,South Australia
273,flow-000272,icmp,ssh,RSTR,1350,939,icmp ssh RSTR 1350->939 normal,normal,Queensland
274,flow-000273,tcp,ssl,S1,192,765,tcp ssl S1 192->765 attack,attack,Western Australia
275,flow-000274,icmp,http,REJ,1276,1258,icmp http REJ 1276->1258 attack,attack,New South Wales
276,flow-000275,udp,dns,SF,894,1786,udp dns SF 894->1786 normal,normal,Victoria
277,flow-000276,udp,ssh,RSTR,87,2534,udp ssh RSTR 87->2534 normal,normal,New South Wales
278,flow-000277,udp,ssl,S1,837,1387,udp ssl S1 837->1387 normal,normal,Queensland
279,flow-000278,icmp,smtp,SF,399,231,icmp smtp SF 399->231 attack,attack,South Australia
280,flow-000279,udp,http,REJ,1176,152,udp http REJ 1176->152 attack,attack,Victoria
281,flow-000280,udp,smtp,S1,736,307,udp smtp S1 736->307 normal,normal,Northern Territory
282,flow-000281,udp,ssh,RSTO,1229,722,udp ssh RSTO 1229->722 normal,normal,Tasmania
283,flow-000282,tcp,dns,S0,598,458,tcp dns S0 598->458 normal,normal,ACT
284,flow-000283,tcp,other,REJ,464,1383,tcp other REJ 464->1383 normal,normal,Tasmania
285,flow-000284,udp,http,S0,1917,610,udp http S0 1917->610 attack,attack,Tasmania
286,flow-000285,tcp,http,RSTR,242,620,tcp http RSTR 242->620 normal,normal,Queensland
287,flow-000286,tcp,ftp,RSTR,274,1016,tcp ftp RSTR 274->1016 normal,normal,Northern Territory
288,flow-000287,icmp,dns,RSTR,569,388,icmp dns RSTR 569->388 attack,attack,Queensland
289,flow-000288,tcp,smtp,RSTR,1109,207,tcp smtp RSTR 1109->207 normal,normal,Queensland
290,flow-000289,tcp,dns,RSTR,109,1425,tcp dns RSTR 109->1425 normal,normal,Victoria
