id,data_subject_id,src_ip,dst_ip,severity,signature,text
32,195.82.121.18->172.18.51.68,195.82.121.18,172.18.51.68,critical,SQLi attempt,SQLi attempt from 195.82.121.18 targeting 172.18.51.68
33,169.166.134.231->192.168.7.71,169.166.134.231,192.168.7.71,critical,Ransomware beacon,Ransomware beacon from 169.166.134.231 targeting 192.168.7.71
34,206.254.17.28->192.168.86.142,206.254.17.28,192.168.86.142,high,SQLi attempt,SQLi attempt from 206.254.17.28 targeting 192.168.86.142
35,168.206.18.68->172.24.205.128,168.206.18.68,172.24.205.128,high,Port scan,Port scan from 168.206.18.68 targeting 172.24.205.128
36,99.23.179.29->172.27.255.178,99.23.179.29,172.27.255.178,medium,SQLi attempt,SQLi attempt from 99.23.179.29 targeting 172.27.255.178
37,19.208.224.23->192.168.133.30,19.208.224.23,192.168.133.30,high,SQLi attempt,SQLi attempt from 19.208.224.23 targeting 192.168.133.30
38,131.53.157.18->172.20.234.242,131.53.157.18,172.20.234.242,high,SQLi attempt,SQLi attempt from 131.53.157.18 targeting 172.20.234.242
39,214.168.43.137->10.161.2.90,214.168.43.137,10.161.2.90,critical,Port scan,Port scan from 214.168.43.137 targeting 10.161.2.90
40,150.114.2.111->192.168.207.183,150.114.2.111,192.168.207.183,high,SQLi attempt,SQLi attempt from 150.114.2.111 targeting 192.168.207.183
41,196.89.170.19->192.168.5.159,196.89.170.19,192.168.5.159,high,Port scan,Port scan from 196.89.170.19 targeting 192.168.5.159
42,187.112.155.0->192.168.27.182,187.112.155.0,192.168.27.182,high,Exploit kit,Exploit kit from 187.112.155.0 targeting 192.168.27.182
43,220.33.150.142->172.25.114.209,220.33.150.142,172.25.114.209,high,Ransomware beacon,Ransomware beacon from 220.33.150.142 targeting 172.25.114.209
44,131.172.36.140->192.168.211.197,131.172.36.140,192.168.211.197,medium,Port scan,Port scan from 131.172.36.140 targeting 192.168.211.197
45,125.103.227.221->10.171.208.209,125.103.227.221,10.171.208.209,medium,Exploit kit,Exploit kit from 125.103.227.221 targeting 10.171.208.209
46,2.30.32.59->10.5.208.63,2.30.32.59,10.5.208.63,critical,C2 traffic,C2 traffic from 2.30.32.59 targeting 10.5.208.63
47,163.21.62.163->10.208.191.145,163.21.62.163,10.208.191.145,medium,Ransomware beacon,Ransomware beacon from 163.21.62.163 targeting 10.208.191.145
48,170.7.31.84->10.109.203.69,170.7.31.84,10.109.203.69,critical,SQLi attempt,SQLi attempt from 170.7.31.84 targeting 10.109.203.69
49,49.159.198.249->192.168.177.70,49.159.198.249,192.168.177.70,high,Exploit kit,Exploit kit from 49.159.198.249 targeting 192.168.177.70
50,151.169.209.118->192.168.30.120,151.169.209.118,192.168.30.120,critical,C2 traffic,C2 traffic from 151.169.209.118 targeting 192.168.30.120
51,206.86.16.105->192.168.221.201,206.86.16.105,192.168.221.201,high,Port scan,Port scan from 206.86.16.105 targeting 192.168.221.201
52,223.205.239.223->10.133.31.214,223.205.239.223,10.133.31.214,low,Ransomware beacon,Ransomware beacon from 223.205.239.223 targeting 10.133.31.214
53,195.178.177.189->172.19.135.148,195.178.177.189,172.19.135.148,medium,C2 traffic,C2 traffic from 195.178.177.189 targeting 172.19.135.148
54,178.50.221.178->192.168.220.145,178.50.221.178,192.168.220.145,medium,SQLi attempt,SQLi attempt from 178.50.221.178 targeting 192.168.220.145
55,56.78.59.189->10.80.105.178,56.78.59.189,10.80.105.178,low,C2 traffic,C2 traffic from 56.78.59.189 targeting 10.80.105.178
56,89.146.54.22->192.168.102.221,89.146.54.22,192.168.102.221,medium,Ransomware beacon,Ransomware beacon from 89.146.54.22 targeting 192.168.102.221
57,9.224.53.156->10.131.36.183,9.224.53.156,10.131.36.183,critical,C2 traffic,C2 traffic from 9.224.53.156 targeting 10.131.36.183
58,150.63.99.128->192.168.49.138,150.63.99.128,192.168.49.138,low,C2 traffic,C2 traffic from 150.63.99.128 targeting 192.168.49.138
59,149.48.101.202->172.27.209.225,149.48.101.202,172.27.209.225,medium,SQLi attempt,SQLi attempt from 149.48.101.202 targeting 172.27.209.225
60,183.192.240.184->192.168.62.125,183.192.240.184,192.168.62.125,high,Exploit kit,Exploit kit from 183.192.240.184 targeting 192.168.62.125
61,213.117.142.61->192.168.183.54,213.117.142.61,192.168.183.54,low,Port scan,Port scan from 213.117.142.61 targeting 192.168.183.54
62,166.119.25.223->172.16.247.39,166.119.25.223,172.16.247.39,critical,SQLi attempt,SQLi attempt from 166.119.25.223 targeting 172.16.247.39
63,98.24.96.227->192.168.102.116,98.24.96.227,192.168.102.116,critical,Exploit kit,Exploit kit from 98.24.96.227 targeting 192.168.102.116
64,103.250.204.53->192.168.158.15,103.250.204.53,192.168.158.15,high,C2 traffic,C2 traffic from 103.250.204.53 targeting 192.168.158.15
65,135.100.197.115->192.168.55.232,135.100.197.115,192.168.55.232,medium,Port scan,Port scan from 135.100.197.115 targeting 192.168.55.232
66,28.58.51.17->192.168.90.58,28.58.51.17,192.168.90.58,medium,Exploit kit,Exploit kit from 28.58.51.17 targeting 192.168.90.58
67,144.74.157.171->10.157.85.253,144.74.157.171,10.157.85.253,high,Port scan,Port scan from 144.74.157.171 targeting 10.157.85.253
68,153.57.51.148->172.28.138.45,153.57.51.148,172.28.138.45,low,Port scan,Port scan from 153.57.51.148 targeting 172.28.138.45
69,212.11.40.155->10.65.196.54,212.11.40.155,10.65.196.54,high,C2 traffic,C2 traffic from 212.11.40.155 targeting 10.65.196.54
70,75.65.81.152->172.21.123.158,75.65.81.152,172.21.123.158,critical,C2 traffic,C2 traffic from 75.65.81.152 targeting 172.21.123.158
71,136.218.81.9->192.168.69.196,136.218.81.9,192.168.69.196,low,C2 traffic,C2 traffic from 136.218.81.9 targeting 192.168.69.196
72,194.203.183.117->10.106.38.190,194.203.183.117,10.106.38.190,medium,Ransomware beacon,Ransomware beacon from 194.203.183.117 targeting 10.106.38.190
73,172.42.59.94->10.8.74.244,172.42.59.94,10.8.74.244,critical,SQLi attempt,SQLi attempt from 172.42.59.94 targeting 10.8.74.244
74,193.80.86.233->192.168.30.120,193.80.86.233,192.168.30.120,low,Exploit kit,Exploit kit from 193.80.86.233 targeting 192.168.30.120
75,178.1.81.120->10.237.170.17,178.1.81.120,10.237.170.17,medium,Port scan,Port scan from 178.1.81.120 targeting 10.237.170.17
76,128.174.137.107->192.168.187.235,128.174.137.107,192.168.187.235,critical,C2 traffic,C2 traffic from 128.174.137.107 targeting 192.168.187.235
77,221.5.197.138->192.168.162.93,221.5.197.138,192.168.162.93,critical,SQLi attempt,SQLi attempt from 221.5.197.138 targeting 192.168.162.93
78,211.118.108.204->172.21.164.224,211.118.108.204,172.21.164.224,critical,SQLi attempt,SQLi attempt from 211.118.108.204 targeting 172.21.164.224
79,124.160.230.62->172.16.26.147,124.160.230.62,172.16.26.147,low,SQLi attempt,SQLi attempt from 124.160.230.62 targeting 172.16.26.147
80,197.140.200.144->10.171.197.35,197.140.200.144,10.171.197.35,critical,SQLi attempt,SQLi attempt from 197.140.200.144 targeting 10.171.197.35
81,138.14.238.160->172.23.2.104,138.14.238.160,172.23.2.104,medium,C2 traffic,C2 traffic from 138.14.238.160 targeting 172.23.2.104
82,45.217.79.68->10.235.182.156,45.217.79.68,10.235.182.156,critical,Port scan,Port scan from 45.217.79.68 targeting 10.235.182.156
83,58.89.26.164->192.168.71.147,58.89.26.164,192.168.71.147,medium,Ransomware beacon,Ransomware beacon from 58.89.26.164 targeting 192.168.71.147
84,88.174.77.99->192.168.74.169,88.174.77.99,192.168.74.169,critical,Ransomware beacon,Ransomware beacon from 88.174.77.99 targeting 192.168.74.169
85,63.253.192.166->172.18.29.135,63.253.192.166,172.18.29.135,low,C2 traffic,C2 traffic from 63.253.192.166 targeting 172.18.29.135
86,40.227.196.25->10.147.235.15,40.227.196.25,10.147.235.15,low,Exploit kit,Exploit kit from 40.227.196.25 targeting 10.147.235.15
87,207.230.36.5->172.17.151.59,207.230.36.5,172.17.151.59,low,Ransomware beacon,Ransomware beacon from 207.230.36.5 targeting 172.17.151.59
88,27.220.224.140->10.44.116.215,27.220.224.140,10.44.116.215,low,SQLi attempt,SQLi attempt from 27.220.224.140 targeting 10.44.116.215
89,105.56.31.170->172.23.89.151,105.56.31.170,172.23.89.151,high,Ransomware beacon,Ransomware beacon from 105.56.31.170 targeting 172.23.89.151
90,180.224.158.100->192.168.10.241,180.224.158.100,192.168.10.241,high,Port scan,Port scan from 180.224.158.100 targeting 192.168.10.241
91,179.192.233.100->192.168.175.60,179.192.233.100,192.168.175.60,low,Exploit kit,Exploit kit from 179.192.233.100 targeting 192.168.175.60
92,19.200.181.147->172.24.105.147,19.200.181.147,172.24.105.147,medium,SQLi attempt,SQLi attempt from 19.200.181.147 targeting 172.24.105.147
93,48.171.192.223->10.187.207.202,48.171.192.223,10.187.207.202,medium,Ransomware beacon,Ransomware beacon from 48.171.192.223 targeting 10.187.207.202
94,203.177.21.123->10.49.128.139,203.177.21.123,10.49.128.139,medium,SQLi attempt,SQLi attempt from 203.177.21.123 targeting 10.49.128.139
95,146.17.115.176->10.10.30.133,146.17.115.176,10.10.30.133,medium,Exploit kit,Exploit kit from 146.17.115.176 targeting 10.10.30.133
96,189.230.37.240->172.17.159.134,189.230.37.240,172.17.159.134,medium,SQLi attempt,SQLi attempt from 189.230.37.240 targeting 172.17.159.134
97,11.191.34.29->192.168.160.97,11.191.34.29,192.168.160.97,low,Ransomware beacon,Ransomware beacon from 11.191.34.29 targeting 192.168.160.97
98,6.122.68.249->172.16.165.76,6.122.68.249,172.16.165.76,high,Port scan,Port scan from 6.122.68.249 targeting 172.16.165.76
99,4.79.249.55->10.108.23.62,4.79.249.55,10.108.23.62,low,SQLi attempt,SQLi attempt from 4.79.249.55 targeting 10.108.23.62
100,209.64.36.95->192.168.106.65,209.64.36.95,192.168.106.65,medium,C2 traffic,C2 traffic from 209.64.36.95 targeting 192.168.106.65
101,209.163.243.253->172.31.12.122,209.163.243.253,172.31.12.122,low,Ransomware beacon,Ransomware beacon from 209.163.243.253 targeting 172.31.12.122
102,134.208.64.155->172.16.235.25,134.208.64.155,172.16.235.25,high,C2 traffic,C2 traffic from 134.208.64.155 targeting 172.16.235.25
103,162.44.213.217->10.80.158.21,162.44.213.217,10.80.158.21,high,Exploit kit,Exploit kit from 162.44.213.217 targeting 10.80.158.21
104,183.120.1.169->10.11.2.191,183.120.1.169,10.11.2.191,medium,Ransomware beacon,Ransomware beacon from 183.120.1.169 targeting 10.11.2.191
105,59.51.29.5->172.29.83.132,59.51.29.5,172.29.83.132,low,C2 traffic,C2 traffic from 59.51.29.5 targeting 172.29.83.132
106,211.124.42.120->172.20.246.155,211.124.42.120,172.20.246.155,medium,Exploit kit,Exploit kit from 211.124.42.120 targeting 172.20.246.155
107,131.179.30.113->10.161.190.119,131.179.30.113,10.161.190.119,medium,SQLi attempt,SQLi attempt from 131.179.30.113 targeting 10.161.190.119
108,76.189.83.115->10.201.116.54,76.189.83.115,10.201.116.54,high,Port scan,Port scan from 76.189.83.115 targeting 10.201.116.54
109,64.249.41.141->10.243.173.229,64.249.41.141,10.243.173.229,low,Ransomware beacon,Ransomware beacon from 64.249.41.141 targeting 10.243.173.229
110,128.202.104.157->172.19.111.167,128.202.104.157,172.19.111.167,low,C2 traffic,C2 traffic from 128.202.104.157 targeting 172.19.111.167
111,148.145.28.145->192.168.105.65,148.145.28.145,192.168.105.65,high,SQLi attempt,SQLi attempt from 148.145.28.145 targeting 192.168.105.65
112,213.81.13.189->192.168.216.32,213.81.13.189,192.168.216.32,medium,C2 traffic,C2 traffic from 213.81.13.189 targeting 192.168.216.32
113,196.100.109.93->10.80.94.22,196.100.109.93,10.80.94.22,medium,Exploit kit,Exploit kit from 196.100.109.93 targeting 10.80.94.22
114,20.108.112.69->10.231.125.23,20.108.112.69,10.231.125.23,low,Port scan,Port scan from 20.108.112.69 targeting 10.231.125.23
115,83.39.189.181->192.168.97.71,83.39.189.181,192.168.97.71,high,C2 traffic,C2 traffic from 83.39.189.181 targeting 192.168.97.71
116,220.24.208.177->172.18.178.13,220.24.208.177,172.18.178.13,critical,Exploit kit,Exploit kit from 220.24.208.177 targeting 172.18.178.13
117,141.108.85.50->10.39.118.142,141.108.85.50,10.39.118.142,high,Ransomware beacon,Ransomware beacon from 141.108.85.50 targeting 10.39.118.142
118,172.74.185.107->10.105.161.52,172.74.185.107,10.105.161.52,high,Port scan,Port scan from 172.74.185.107 targeting 10.105.161.52
119,192.118.53.42->172.18.31.210,192.118.53.42,172.18.31.210,high,SQLi attempt,SQLi attempt from 192.118.53.42 targeting 172.18.31.210
120,193.56.113.104->10.98.15.35,193.56.113.104,10.98.15.35,critical,SQLi attempt,SQLi attempt from 193.56.113.104 targeting 10.98.15.35
121,193.27.75.107->172.26.198.59,193.27.75.107,172.26.198.59,medium,SQLi attempt,SQLi attempt from 193.27.75.107 targeting 172.26.198.59
122,193.247.219.23->172.27.232.62,193.247.219.23,172.27.232.62,low,C2 traffic,C2 traffic from 193.247.219.23 targeting 172.27.232.62
123,202.142.130.193->172.30.239.190,202.142.130.193,172.30.239.190,critical,Port scan,Port scan from 202.142.130.193 targeting 172.30.239.190
124,219.135.158.184->172.30.176.128,219.135.158.184,172.30.176.128,low,Port scan,Port scan from 219.135.158.184 targeting 172.30.176.128
125,78.252.122.21->192.168.184.113,78.252.122.21,192.168.184.113,medium,SQLi attempt,SQLi attempt from 78.252.122.21 targeting 192.168.184.113
126,57.224.6.123->172.25.2.187,57.224.6.123,172.25.2.187,high,C2 traffic,C2 traffic from 57.224.6.123 targeting 172.25.2.187
127,208.164.188.8->10.145.34.25,208.164.188.8,10.145.34.25,high,SQLi attempt,SQLi attempt from 208.164.188.8 targeting 10.145.34.25
128,211.255.187.46->172.21.101.170,211.255.187.46,172.21.101.170,low,Exploit kit,Exploit kit from 211.255.187.46 targeting 172.21.101.170
129,169.133.107.218->172.18.117.145,169.133.107.218,172.18.117.145,critical,Exploit kit,Exploit kit from 169.133.107.218 targeting 172.18.117.145
130,210.244.119.159->172.19.106.126,210.244.119.159,172.19.106.126,medium,C2 traffic,C2 traffic from 210.244.119.159 targeting 172.19.106.126
131,74.148.254.40->10.153.242.41,74.148.254.40,10.153.242.41,high,Port scan,Port scan from 74.148.254.40 targeting 10.153.242.41
132,102.111.111.172->192.168.165.202,102.111.111.172,192.168.165.202,critical,Ransomware beacon,Ransomware beacon from 102.111.111.172 targeting 192.168.165.202
133,154.237.128.98->172.28.227.252,154.237.128.98,172.28.227.252,medium,C2 traffic,C2 traffic from 154.237.128.98 targeting 172.28.227.252
134,109.212.203.3->192.168.63.6,109.212.203.3,192.168.63.6,low,Ransomware beacon,Ransomware beacon from 109.212.203.3 targeting 192.168.63.6
135,176.33.169.138->10.154.230.138,176.33.169.138,10.154.230.138,critical,Ransomware beacon,Ransomware beacon from 176.33.169.138 targeting 10.154.230.138
136,205.184.245.114->10.231.183.176,205.184.245.114,10.231.183.176,critical,SQLi attempt,SQLi attempt from 205.184.245.114 targeting 10.231.183.176
137,161.195.143.249->10.216.66.25,161.195.143.249,10.216.66.25,medium,C2 traffic,C2 traffic from 161.195.143.249 targeting 10.216.66.25
138,156.123.241.237->10.24.195.41,156.123.241.237,10.24.195.41,medium,Exploit kit,Exploit kit from 156.123.241.237 targeting 10.24.195.41
139,138.76.47.139->10.41.83.5,138.76.47.139,10.41.83.5,low,Exploit kit,Exploit kit from 138.76.47.139 targeting 10.41.83.5
140,114.119.19.196->192.168.253.178,114.119.19.196,192.168.253.178,critical,Ransomware beacon,Ransomware beacon from 114.119.19.196 targeting 192.168.253.178
141,198.238.162.218->10.249.182.1,198.238.162.218,10.249.182.1,medium,SQLi attempt,SQLi attempt from 198.238.162.218 targeting 10.249.182.1
142,11.248.226.99->10.47.6.155,11.248.226.99,10.47.6.155,high,Ransomware beacon,Ransomware beacon from 11.248.226.99 targeting 10.47.6.155
143,216.74.30.233->10.62.16.105,216.74.30.233,10.62.16.105,low,Exploit kit,Exploit kit from 216.74.30.233 targeting 10.62.16.105
144,197.243.245.148->10.115.129.43,197.243.245.148,10.115.129.43,critical,C2 traffic,C2 traffic from 197.243.245.148 targeting 10.115.129.43
145,114.84.222.151->172.17.141.218,114.84.222.151,172.17.141.218,low,Ransomware beacon,Ransomware beacon from 114.84.222.151 targeting 172.17.141.218
146,160.245.123.120->172.26.168.55,160.245.123.120,172.26.168.55,low,Port scan,Port scan from 160.245.123.120 targeting 172.26.168.55
147,71.111.98.195->10.235.76.71,71.111.98.195,10.235.76.71,high,C2 traffic,C2 traffic from 71.111.98.195 targeting 10.235.76.71
148,209.179.84.207->10.153.59.25,209.179.84.207,10.153.59.25,low,Ransomware beacon,Ransomware beacon from 209.179.84.207 targeting 10.153.59.25
149,148.230.42.240->192.168.241.17,148.230.42.240,192.168.241.17,low,SQLi attempt,SQLi attempt from 148.230.42.240 targeting 192.168.241.17
150,41.124.134.171->192.168.12.165,41.124.134.171,192.168.12.165,high,Port scan,Port scan from 41.124.134.171 targeting 192.168.12.165
151,184.114.132.31->192.168.114.197,184.114.132.31,192.168.114.197,medium,Ransomware beacon,Ransomware beacon from 184.114.132.31 targeting 192.168.114.197
152,133.165.164.65->172.30.204.1,133.165.164.65,172.30.204.1,critical,SQLi attempt,SQLi attempt from 133.165.164.65 targeting 172.30.204.1
153,170.166.235.220->192.168.41.48,170.166.235.220,192.168.41.48,critical,Exploit kit,Exploit kit from 170.166.235.220 targeting 192.168.41.48
154,181.98.130.23->10.215.53.179,181.98.130.23,10.215.53.179,critical,SQLi attempt,SQLi attempt from 181.98.130.23 targeting 10.215.53.179
155,205.144.240.72->192.168.74.8,205.144.240.72,192.168.74.8,low,Ransomware beacon,Ransomware beacon from 205.144.240.72 targeting 192.168.74.8
156,154.15.57.94->10.151.114.253,154.15.57.94,10.151.114.253,medium,SQLi attempt,SQLi attempt from 154.15.57.94 targeting 10.151.114.253
157,83.225.189.213->192.168.173.221,83.225.189.213,192.168.173.221,critical,SQLi attempt,SQLi attempt from 83.225.189.213 targeting 192.168.173.221
158,210.97.100.249->192.168.101.88,210.97.100.249,192.168.101.88,medium,Exploit kit,Exploit kit from 210.97.100.249 targeting 192.168.101.88
159,139.44.247.205->172.20.45.85,139.44.247.205,172.20.45.85,medium,Exploit kit,Exploit kit from 139.44.247.205 targeting 172.20.45.85
160,144.119.15.152->172.20.254.190,144.119.15.152,172.20.254.190,high,SQLi attempt,SQLi attempt from 144.119.15.152 targeting 172.20.254.190
161,129.108.169.107->10.29.102.48,129.108.169.107,10.29.102.48,high,Exploit kit,Exploit kit from 129.108.169.107 targeting 10.29.102.48
162,161.180.133.128->10.250.13.22,161.180.133.128,10.250.13.22,critical,C2 traffic,C2 traffic from 161.180.133.128 targeting 10.250.13.22
163,199.106.147.252->10.185.96.177,199.106.147.252,10.185.96.177,high,Ransomware beacon,Ransomware beacon from 199.106.147.252 targeting 10.185.96.177
164,194.219.156.115->172.28.88.183,194.219.156.115,172.28.88.183,medium,SQLi attempt,SQLi attempt from 194.219.156.115 targeting 172.28.88.183
165,156.134.39.132->192.168.144.48,156.134.39.132,192.168.144.48,medium,Ransomware beacon,Ransomware beacon from 156.134.39.132 targeting 192.168.144.48
166,185.251.134.139->172.18.35.99,185.251.134.139,172.18.35.99,medium,Port scan,Port scan from 185.251.134.139 targeting 172.18.35.99
167,220.198.173.100->192.168.181.116,220.198.173.100,192.168.181.116,low,Ransomware beacon,Ransomware beacon from 220.198.173.100 targeting 192.168.181.116
168,164.46.147.154->10.59.0.227,164.46.147.154,10.59.0.227,high,Ransomware beacon,Ransomware beacon from 164.46.147.154 targeting 10.59.0.227
169,157.219.107.39->172.17.89.231,157.219.107.39,172.17.89.231,low,Port scan,Port scan from 157.219.107.39 targeting 172.17.89.231
170,81.129.59.7->172.28.20.204,81.129.59.7,172.28.20.204,low,SQLi attempt,SQLi attempt from 81.129.59.7 targeting 172.28.20.204
171,148.60.186.59->172.21.244.77,148.60.186.59,172.21.244.77,critical,SQLi attempt,SQLi attempt from 148.60.186.59 targeting 172.21.244.77
172,140.247.165.219->172.29.58.178,140.247.165.219,172.29.58.178,critical,Ransomware beacon,Ransomware beacon from 140.247.165.219 targeting 172.29.58.178
173,14.1.34.70->192.168.241.65,14.1.34.70,192.168.241.65,medium,Ransomware beacon,Ransomware beacon from 14.1.34.70 targeting 192.168.241.65
174,99.254.59.15->172.23.204.179,99.254.59.15,172.23.204.179,high,Port scan,Port scan from 99.254.59.15 targeting 172.23.204.179
175,178.183.102.78->10.244.243.250,178.183.102.78,10.244.243.250,medium,Port scan,Port scan from 178.183.102.78 targeting 10.244.243.250
176,154.177.35.194->10.54.89.113,154.177.35.194,10.54.89.113,low,SQLi attempt,SQLi attempt from 154.177.35.194 targeting 10.54.89.113
177,187.251.22.151->10.181.172.190,187.251.22.151,10.181.172.190,medium,Ransomware beacon,Ransomware beacon from 187.251.22.151 targeting 10.181.172.190
178,88.213.118.146->172.22.85.164,88.213.118.146,172.22.85.164,critical,Ransomware beacon,Ransomware beacon from 88.213.118.146 targeting 172.22.85.164
179,209.168.75.170->10.82.92.42,209.168.75.170,10.82.92.42,low,Exploit kit,Exploit kit from 209.168.75.170 targeting 10.82.92.42
180,147.145.190.231->172.22.48.101,147.145.190.231,172.22.48.101,critical,C2 traffic,C2 traffic from 147.145.190.231 targeting 172.22.48.101
181,193.55.3.112->192.168.145.166,193.55.3.112,192.168.145.166,medium,C2 traffic,C2 traffic from 193.55.3.112 targeting 192.168.145.166
182,195.83.75.152->10.176.45.78,195.83.75.152,10.176.45.78,medium,Ransomware beacon,Ransomware beacon from 195.83.75.152 targeting 10.176.45.78
183,155.231.224.200->10.115.146.7,155.231.224.200,10.115.146.7,critical,Port scan,Port scan from 155.231.224.200 targeting 10.115.146.7
184,193.147.69.94->172.24.80.10,193.147.69.94,172.24.80.10,medium,Port scan,Port scan from 193.147.69.94 targeting 172.24.80.10
185,178.14.48.67->172.28.237.135,178.14.48.67,172.28.237.135,low,Port scan,Port scan from 178.14.48.67 targeting 172.28.237.135
186,133.143.25.228->192.168.196.26,133.143.25.228,192.168.196.26,critical,C2 traffic,C2 traffic from 133.143.25.228 targeting 192.168.196.26
187,220.76.172.90->192.168.27.193,220.76.172.90,192.168.27.193,low,Exploit kit,Exploit kit from 220.76.172.90 targeting 192.168.27.193
188,213.221.64.51->10.51.206.71,213.221.64.51,10.51.206.71,medium,Ransomware beacon,Ransomware beacon from 213.221.64.51 targeting 10.51.206.71
189,161.86.2.81->192.168.99.213,161.86.2.81,192.168.99.213,medium,C2 traffic,C2 traffic from 161.86.2.81 targeting 192.168.99.213
190,178.134.182.231->10.99.79.139,178.134.182.231,10.99.79.139,high,C2 traffic,C2 traffic from 178.134.182.231 targeting 10.99.79.139
191,104.196.164.207->10.114.47.129,104.196.164.207,10.114.47.129,low,Exploit kit,Exploit kit from 104.196.164.207 targeting 10.114.47.129
192,184.204.221.124->192.168.67.213,184.204.221.124,192.168.67.213,high,Ransomware beacon,Ransomware beacon from 184.204.221.124 targeting 192.168.67.213
